Designator,Mid X,Mid Y,Rotation,Layer
D1,28.14,-92.91,180,top
D10,66.14,-70.91,180,top
D11,66.14,-53.91,180,top
D12,66.14,-36.91,180,top
D13,85.14,-82.91,180,top
D14,85.14,-65.91,180,top
D15,85.14,-48.91,180,top
D16,85.14,-31.91,180,top
D17,104.14,-88.91,180,top
D18,104.14,-71.91,180,top
D19,104.14,-54.91,180,top
D2,28.14,-75.91,180,top
D20,104.14,-37.91,180,top
D21,123.14,-90.91,180,top
D22,123.14,-73.91,180,top
D23,123.14,-56.91,180,top
D24,123.14,-39.91,180,top
D25,103.14,-110.91,180,top
D26,122.14,-110.91,180,top
D27,140.6753,-120.3056,160,top
D28,146.4897,-104.3309,160,top
D29,158.6232,-129.7591,145,top
D3,28.14,-58.91,180,top
D4,28.14,-41.91,180,top
D5,47.14,-92.91,180,top
D6,47.14,-75.91,180,top
D7,47.14,-58.91,180,top
D8,47.14,-41.91,180,top
D9,66.14,-87.91,180,top
JST1,138.14,-59.91,90,top
MCU1,145.14,-35.41,270,top
OLED1,137.64,-56.41,90,top
Panasonic_EVQPUL_EVQPUC,159.385,-69.469,270,top
S1,28.14,-87.91,0,bottom
S10,66.14,-65.91,0,bottom
S11,66.14,-48.91,0,bottom
S12,66.14,-31.91,0,bottom
S13,85.14,-77.91,0,bottom
S14,85.14,-60.91,0,bottom
S15,85.14,-43.91,0,bottom
S16,85.14,-26.91,0,bottom
S17,104.14,-83.91,0,bottom
S18,104.14,-66.91,0,bottom
S19,104.14,-49.91,0,bottom
S2,28.14,-70.91,0,bottom
S20,104.14,-32.91,0,bottom
S21,123.14,-85.91,0,bottom
S22,123.14,-68.91,0,bottom
S23,123.14,-51.91,0,bottom
S24,123.14,-34.91,0,bottom
S25,103.14,-105.91,0,bottom
S26,122.14,-105.91,0,bottom
S27,142.3854,-115.6072,340,bottom
S28,148.1998,-99.6324,340,bottom
S29,161.4911,-125.6633,325,bottom
S3,28.14,-53.91,0,bottom
S4,28.14,-36.91,0,bottom
S5,47.14,-87.91,0,bottom
S6,47.14,-70.91,0,bottom
S7,47.14,-53.91,0,bottom
S8,47.14,-36.91,0,bottom
S9,66.14,-82.91,0,bottom
T1,159.64,-85.91,270,top